Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
3:00:00 PM,16,Monday,40,20,36,7,103,normal
3:15:00 PM,16,Monday,74,18,37,11,140,high
3:30:00 PM,16,Monday,62,15,8,11,96,low
3:45:00 PM,16,Monday,81,20,14,12,127,normal
4:00:00 PM,16,Monday,111,32,43,5,191,heavy
4:15:00 PM,16,Monday,145,12,41,6,204,heavy
4:30:00 PM,16,Monday,139,11,20,7,177,heavy
4:45:00 PM,16,Monday,129,40,31,10,210,heavy
5:00:00 PM,16,Monday,128,22,28,8,186,heavy
5:15:00 PM,16,Monday,103,17,23,8,151,normal
5:30:00 PM,16,Monday,127,32,29,7,195,heavy
5:45:00 PM,16,Monday,120,35,44,8,207,heavy
6:00:00 PM,16,Monday,106,11,41,7,165,high
6:15:00 PM,16,Monday,114,40,31,5,190,heavy
6:30:00 PM,16,Monday,101,13,20,7,141,normal
6:45:00 PM,16,Monday,110,25,19,34,188,heavy
7:00:00 PM,16,Monday,108,6,17,23,154,high
7:15:00 PM,16,Monday,104,12,10,10,136,normal
7:30:00 PM,16,Monday,102,22,17,23,164,high
7:45:00 PM,16,Monday,77,19,16,8,120,normal
8:00:00 PM,16,Monday,70,16,19,33,138,high
8:15:00 PM,16,Monday,75,9,13,28,125,high
8:30:00 PM,16,Monday,95,9,16,29,149,high
8:45:00 PM,16,Monday,77,17,17,22,133,high
9:00:00 PM,16,Monday,73,16,14,34,137,high
9:15:00 PM,16,Monday,59,7,18,12,96,normal
9:30:00 PM,16,Monday,54,20,10,9,93,low
9:45:00 PM,16,Monday,90,6,18,32,146,high
10:00:00 PM,16,Monday,15,5,1,32,53,normal
10:15:00 PM,16,Monday,12,1,0,11,24,low
10:30:00 PM,16,Monday,17,2,0,28,47,normal
10:45:00 PM,16,Monday,13,5,1,12,31,low
11:00:00 PM,16,Monday,15,5,0,21,41,normal
11:15:00 PM,16,Monday,18,4,0,11,33,low
11:30:00 PM,16,Monday,12,4,0,21,37,normal
11:45:00 PM,16,Monday,10,4,1,12,27,low
12:00:00 AM,17,Tuesday,15,2,0,25,42,normal
12:15:00 AM,17,Tuesday,11,0,0,24,35,normal
12:30:00 AM,17,Tuesday,15,2,1,15,33,normal
12:45:00 AM,17,Tuesday,20,3,1,29,53,normal
1:00:00 AM,17,Tuesday,17,2,0,24,43,normal
1:15:00 AM,17,Tuesday,19,5,1,26,51,normal
1:30:00 AM,17,Tuesday,20,3,1,32,56,normal
1:45:00 AM,17,Tuesday,15,3,0,19,37,normal
2:00:00 AM,17,Tuesday,13,5,0,17,35,normal
2:15:00 AM,17,Tuesday,12,5,1,19,37,normal
2:30:00 AM,17,Tuesday,10,2,0,27,39,normal
2:45:00 AM,17,Tuesday,20,4,1,23,48,normal
3:00:00 AM,17,Tuesday,14,0,0,16,30,normal
3:15:00 AM,17,Tuesday,12,4,1,28,45,normal
3:30:00 AM,17,Tuesday,19,2,0,20,41,normal
3:45:00 AM,17,Tuesday,20,2,1,19,42,normal
4:00:00 AM,17,Tuesday,16,0,0,36,52,normal
4:15:00 AM,17,Tuesday,62,20,4,18,104,normal
4:30:00 AM,17,Tuesday,50,13,2,14,79,normal
4:45:00 AM,17,Tuesday,101,3,6,6,116,normal
5:00:00 AM,17,Tuesday,94,15,2,9,120,normal
5:15:00 AM,17,Tuesday,68,10,8,1,87,low
5:30:00 AM,17,Tuesday,95,3,8,20,126,normal
5:45:00 AM,17,Tuesday,113,7,10,16,146,normal
6:00:00 AM,17,Tuesday,106,13,39,1,159,high
6:15:00 AM,17,Tuesday,105,32,47,4,188,heavy
6:30:00 AM,17,Tuesday,150,19,34,4,207,heavy
6:45:00 AM,17,Tuesday,137,38,39,2,216,heavy
7:00:00 AM,17,Tuesday,113,11,32,1,157,high
7:15:00 AM,17,Tuesday,117,30,26,5,178,heavy
7:30:00 AM,17,Tuesday,130,10,37,1,178,heavy
7:45:00 AM,17,Tuesday,150,32,31,1,214,heavy
8:00:00 AM,17,Tuesday,146,10,30,3,189,heavy
8:15:00 AM,17,Tuesday,123,24,46,2,195,heavy
8:30:00 AM,17,Tuesday,110,24,26,4,164,high
8:45:00 AM,17,Tuesday,111,33,31,2,177,heavy
9:00:00 AM,17,Tuesday,132,18,32,2,184,heavy
9:15:00 AM,17,Tuesday,66,16,22,13,117,normal
9:30:00 AM,17,Tuesday,45,24,5,23,97,normal
9:45:00 AM,17,Tuesday,92,19,15,7,133,normal
10:00:00 AM,17,Tuesday,78,22,16,25,141,high
10:15:00 AM,17,Tuesday,90,2,15,18,125,normal
10:30:00 AM,17,Tuesday,23,2,37,9,71,normal
10:45:00 AM,17,Tuesday,17,5,6,20,48,normal
11:00:00 AM,17,Tuesday,41,5,4,24,74,normal
11:15:00 AM,17,Tuesday,32,5,15,26,78,normal
11:30:00 AM,17,Tuesday,65,7,7,22,101,normal
11:45:00 AM,17,Tuesday,22,6,3,25,56,normal
12:00:00 PM,17,Tuesday,54,7,4,28,93,normal
12:15:00 PM,17,Tuesday,38,5,8,28,79,normal
12:30:00 PM,17,Tuesday,59,7,15,23,104,normal
12:45:00 PM,17,Tuesday,34,8,10,23,75,normal
1:00:00 PM,17,Tuesday,28,6,3,27,64,normal
1:15:00 PM,17,Tuesday,7,16,11,14,48,normal
1:30:00 PM,17,Tuesday,8,12,22,8,50,normal
1:45:00 PM,17,Tuesday,42,25,38,18,123,high
2:00:00 PM,17,Tuesday,82,13,28,5,128,high
2:15:00 PM,17,Tuesday,14,24,26,9,73,normal
2:30:00 PM,17,Tuesday,39,25,33,9,106,normal
2:45:00 PM,17,Tuesday,47,14,29,6,96,normal
3:00:00 PM,17,Tuesday,120,20,21,18,179,heavy
3:15:00 PM,17,Tuesday,114,11,39,10,174,heavy
3:30:00 PM,17,Tuesday,99,24,30,10,163,high
3:45:00 PM,17,Tuesday,78,18,30,8,134,high
4:00:00 PM,17,Tuesday,144,40,29,10,223,normal
4:15:00 PM,17,Tuesday,107,28,38,9,182,heavy
4:30:00 PM,17,Tuesday,123,28,24,10,185,heavy
4:45:00 PM,17,Tuesday,126,15,28,6,175,heavy
5:00:00 PM,17,Tuesday,147,28,23,5,203,heavy
5:15:00 PM,17,Tuesday,100,21,33,7,161,high
5:30:00 PM,17,Tuesday,113,12,22,6,153,normal
5:45:00 PM,17,Tuesday,130,34,30,6,200,heavy
6:00:00 PM,17,Tuesday,118,40,29,10,197,heavy
6:15:00 PM,17,Tuesday,113,38,44,9,204,heavy
6:30:00 PM,17,Tuesday,117,29,29,9,184,heavy
6:45:00 PM,17,Tuesday,106,12,20,32,170,heavy
7:00:00 PM,17,Tuesday,96,11,15,14,136,normal
7:15:00 PM,17,Tuesday,58,11,14,24,107,normal
7:30:00 PM,17,Tuesday,76,22,10,9,117,normal
7:45:00 PM,17,Tuesday,66,6,12,33,117,high
8:00:00 PM,17,Tuesday,61,23,13,18,115,normal
8:15:00 PM,17,Tuesday,93,6,15,17,131,normal
8:30:00 PM,17,Tuesday,51,11,16,26,104,normal
8:45:00 PM,17,Tuesday,86,6,12,9,113,normal
9:00:00 PM,17,Tuesday,77,15,12,29,133,high
9:15:00 PM,17,Tuesday,84,15,16,8,123,normal
9:30:00 PM,17,Tuesday,103,12,15,10,140,normal
9:45:00 PM,17,Tuesday,60,9,11,27,107,normal
10:00:00 PM,17,Tuesday,14,1,1,22,38,normal
10:15:00 PM,17,Tuesday,14,2,0,35,51,normal
10:30:00 PM,17,Tuesday,13,1,1,31,46,normal
10:45:00 PM,17,Tuesday,19,0,1,22,42,normal
11:00:00 PM,17,Tuesday,13,4,0,28,45,normal
11:15:00 PM,17,Tuesday,13,1,0,26,40,normal
11:30:00 PM,17,Tuesday,12,0,1,34,47,normal
11:45:00 PM,17,Tuesday,20,1,1,38,60,normal
12:00:00 AM,18,Wednesday,12,3,0,38,53,normal
12:15:00 AM,18,Wednesday,12,1,0,40,53,normal
12:30:00 AM,18,Wednesday,20,5,0,10,35,low
12:45:00 AM,18,Wednesday,12,4,1,27,44,normal
1:00:00 AM,18,Wednesday,15,5,0,21,41,normal
1:15:00 AM,18,Wednesday,19,2,0,30,51,normal
1:30:00 AM,18,Wednesday,11,0,1,40,52,normal
1:45:00 AM,18,Wednesday,15,3,0,35,53,normal
2:00:00 AM,18,Wednesday,15,0,1,37,53,normal
2:15:00 AM,18,Wednesday,16,2,0,37,55,normal
2:30:00 AM,18,Wednesday,10,0,1,24,35,normal
2:45:00 AM,18,Wednesday,12,0,1,31,44,normal
3:00:00 AM,18,Wednesday,15,1,1,36,53,normal
3:15:00 AM,18,Wednesday,14,5,0,17,36,normal
3:30:00 AM,18,Wednesday,17,3,1,38,59,normal
3:45:00 AM,18,Wednesday,19,0,0,18,37,normal
4:00:00 AM,18,Wednesday,18,5,1,30,54,normal
4:15:00 AM,18,Wednesday,119,12,6,4,141,normal
4:30:00 AM,18,Wednesday,74,28,1,13,116,normal
4:45:00 AM,18,Wednesday,101,26,10,0,137,normal
5:00:00 AM,18,Wednesday,99,4,7,19,129,normal
5:15:00 AM,18,Wednesday,99,18,7,5,129,normal
5:30:00 AM,18,Wednesday,102,24,2,8,136,normal
5:45:00 AM,18,Wednesday,50,4,6,13,73,normal
6:00:00 AM,18,Wednesday,128,11,46,4,189,heavy
6:15:00 AM,18,Wednesday,129,39,43,0,211,heavy
6:30:00 AM,18,Wednesday,129,27,38,0,194,heavy
6:45:00 AM,18,Wednesday,113,24,22,2,161,normal
7:00:00 AM,18,Wednesday,141,15,21,5,182,heavy
7:15:00 AM,18,Wednesday,120,22,29,1,172,heavy
7:30:00 AM,18,Wednesday,141,24,47,4,216,heavy
7:45:00 AM,18,Wednesday,149,24,33,1,207,heavy
8:00:00 AM,18,Wednesday,140,40,36,1,217,heavy
8:15:00 AM,18,Wednesday,140,20,36,0,196,heavy
8:30:00 AM,18,Wednesday,107,13,31,4,155,high
8:45:00 AM,18,Wednesday,141,15,32,4,192,heavy
9:00:00 AM,18,Wednesday,120,27,38,4,189,heavy
9:15:00 AM,18,Wednesday,70,14,21,5,110,normal
9:30:00 AM,18,Wednesday,55,24,16,21,116,high
9:45:00 AM,18,Wednesday,52,18,22,16,108,normal
10:00:00 AM,18,Wednesday,65,4,19,21,109,normal
10:15:00 AM,18,Wednesday,54,10,30,28,122,high
10:30:00 AM,18,Wednesday,37,3,32,18,90,normal
10:45:00 AM,18,Wednesday,23,3,37,18,81,normal
11:00:00 AM,18,Wednesday,43,7,7,29,86,normal
11:15:00 AM,18,Wednesday,22,6,13,24,65,normal
11:30:00 AM,18,Wednesday,21,10,6,30,67,normal
11:45:00 AM,18,Wednesday,48,8,11,22,89,normal
12:00:00 PM,18,Wednesday,35,5,12,20,72,normal
12:15:00 PM,18,Wednesday,69,5,13,22,109,normal
12:30:00 PM,18,Wednesday,22,9,10,21,62,normal
12:45:00 PM,18,Wednesday,46,5,9,23,83,normal
1:00:00 PM,18,Wednesday,49,5,11,21,86,normal
1:15:00 PM,18,Wednesday,29,18,29,20,96,normal
1:30:00 PM,18,Wednesday,96,23,31,14,164,high
1:45:00 PM,18,Wednesday,100,27,23,16,166,normal
2:00:00 PM,18,Wednesday,96,22,36,5,159,high
2:15:00 PM,18,Wednesday,27,26,25,15,93,normal
2:30:00 PM,18,Wednesday,114,21,32,5,172,heavy
2:45:00 PM,18,Wednesday,74,27,34,10,145,high
3:00:00 PM,18,Wednesday,14,16,9,14,53,normal
3:15:00 PM,18,Wednesday,84,30,26,10,150,high
3:30:00 PM,18,Wednesday,96,19,14,18,147,normal
3:45:00 PM,18,Wednesday,40,15,28,5,88,normal
4:00:00 PM,18,Wednesday,110,15,46,5,176,heavy
4:15:00 PM,18,Wednesday,138,39,31,7,215,heavy
4:30:00 PM,18,Wednesday,118,32,32,10,192,heavy
4:45:00 PM,18,Wednesday,142,34,38,9,223,normal
5:00:00 PM,18,Wednesday,113,13,36,5,167,normal
5:15:00 PM,18,Wednesday,104,29,32,7,172,heavy
5:30:00 PM,18,Wednesday,134,39,21,9,203,heavy
5:45:00 PM,18,Wednesday,107,15,48,5,175,heavy
6:00:00 PM,18,Wednesday,139,25,43,7,214,heavy
6:15:00 PM,18,Wednesday,128,20,20,6,174,heavy
6:30:00 PM,18,Wednesday,101,13,47,10,171,heavy
6:45:00 PM,18,Wednesday,105,17,13,23,158,high
7:00:00 PM,18,Wednesday,103,14,13,9,139,normal
7:15:00 PM,18,Wednesday,51,23,15,13,102,normal
7:30:00 PM,18,Wednesday,84,10,16,20,130,normal
7:45:00 PM,18,Wednesday,97,25,19,24,165,high
8:00:00 PM,18,Wednesday,98,8,10,19,135,normal
8:15:00 PM,18,Wednesday,94,13,19,25,151,high
8:30:00 PM,18,Wednesday,105,25,11,35,176,heavy
8:45:00 PM,18,Wednesday,74,9,13,6,102,low
9:00:00 PM,18,Wednesday,57,18,13,28,116,high
9:15:00 PM,18,Wednesday,57,14,11,33,115,high
9:30:00 PM,18,Wednesday,84,23,19,15,141,normal
9:45:00 PM,18,Wednesday,105,14,16,33,168,heavy
10:00:00 PM,18,Wednesday,10,4,1,38,53,normal
10:15:00 PM,18,Wednesday,15,1,1,29,46,normal
10:30:00 PM,18,Wednesday,14,1,1,25,41,normal
10:45:00 PM,18,Wednesday,20,2,0,37,59,normal
11:00:00 PM,18,Wednesday,20,1,0,27,48,normal
11:15:00 PM,18,Wednesday,13,1,1,18,33,normal
11:30:00 PM,18,Wednesday,19,0,0,35,54,normal
11:45:00 PM,18,Wednesday,14,1,1,27,43,normal
12:00:00 AM,19,Thursday,13,5,0,12,30,low
12:15:00 AM,19,Thursday,18,5,0,12,35,low
12:30:00 AM,19,Thursday,10,3,1,32,46,normal
12:45:00 AM,19,Thursday,14,2,0,15,31,normal
1:00:00 AM,19,Thursday,16,3,0,15,34,normal
1:15:00 AM,19,Thursday,14,2,0,25,41,normal
1:30:00 AM,19,Thursday,17,5,0,18,40,normal
1:45:00 AM,19,Thursday,13,1,0,28,42,normal
2:00:00 AM,19,Thursday,19,0,1,20,40,normal
2:15:00 AM,19,Thursday,15,4,0,40,59,normal
2:30:00 AM,19,Thursday,14,3,1,26,44,normal
2:45:00 AM,19,Thursday,15,4,0,14,33,normal
3:00:00 AM,19,Thursday,12,3,1,13,29,normal
3:15:00 AM,19,Thursday,12,4,0,31,47,normal
3:30:00 AM,19,Thursday,17,4,1,20,42,normal
3:45:00 AM,19,Thursday,12,0,1,13,26,normal
4:00:00 AM,19,Thursday,18,2,0,16,36,normal
4:15:00 AM,19,Thursday,115,16,10,13,154,normal
4:30:00 AM,19,Thursday,117,5,10,15,147,normal
4:45:00 AM,19,Thursday,92,26,8,7,133,normal
5:00:00 AM,19,Thursday,88,3,6,4,101,low
5:15:00 AM,19,Thursday,109,11,4,3,127,normal
5:30:00 AM,19,Thursday,81,4,0,20,105,normal
5:45:00 AM,19,Thursday,118,2,5,19,144,normal
6:00:00 AM,19,Thursday,107,26,31,2,166,high
6:15:00 AM,19,Thursday,103,11,35,5,154,high
6:30:00 AM,19,Thursday,145,13,33,3,194,heavy
6:45:00 AM,19,Thursday,143,22,37,4,206,heavy
7:00:00 AM,19,Thursday,113,38,50,3,204,heavy
7:15:00 AM,19,Thursday,149,10,47,3,209,heavy
7:30:00 AM,19,Thursday,132,33,35,2,202,heavy
7:45:00 AM,19,Thursday,119,40,41,2,202,heavy
8:00:00 AM,19,Thursday,133,31,27,2,193,heavy
8:15:00 AM,19,Thursday,140,20,44,4,208,heavy
8:30:00 AM,19,Thursday,140,34,31,1,206,heavy
8:45:00 AM,19,Thursday,128,37,50,2,217,heavy
9:00:00 AM,19,Thursday,132,11,24,3,170,heavy
9:15:00 AM,19,Thursday,23,8,40,27,98,normal
9:30:00 AM,19,Thursday,75,2,18,29,124,high
9:45:00 AM,19,Thursday,99,14,33,14,160,high
10:00:00 AM,19,Thursday,10,1,13,7,31,low
10:15:00 AM,19,Thursday,74,21,29,26,150,high
10:30:00 AM,19,Thursday,29,15,25,5,74,normal
10:45:00 AM,19,Thursday,50,17,38,24,129,high
11:00:00 AM,19,Thursday,64,9,14,20,107,normal
11:15:00 AM,19,Thursday,49,5,10,21,85,normal
11:30:00 AM,19,Thursday,39,7,10,30,86,normal
11:45:00 AM,19,Thursday,68,5,5,24,102,normal
12:00:00 PM,19,Thursday,67,7,8,22,104,normal
12:15:00 PM,19,Thursday,47,8,3,25,83,normal
12:30:00 PM,19,Thursday,66,9,7,24,106,normal
12:45:00 PM,19,Thursday,46,8,3,22,79,normal
1:00:00 PM,19,Thursday,54,6,12,21,93,normal
1:15:00 PM,19,Thursday,18,16,32,18,84,normal
1:30:00 PM,19,Thursday,24,20,7,9,60,low
1:45:00 PM,19,Thursday,113,17,16,20,166,normal
2:00:00 PM,19,Thursday,52,13,15,10,90,low
2:15:00 PM,19,Thursday,58,26,25,18,127,normal
2:30:00 PM,19,Thursday,44,19,22,6,91,normal
2:45:00 PM,19,Thursday,8,26,34,9,77,normal
3:00:00 PM,19,Thursday,31,10,27,8,76,normal
3:15:00 PM,19,Thursday,115,24,16,5,160,normal
3:30:00 PM,19,Thursday,56,29,16,16,117,normal
3:45:00 PM,19,Thursday,7,12,33,12,64,normal
4:00:00 PM,19,Thursday,133,10,46,10,199,heavy
4:15:00 PM,19,Thursday,104,31,37,6,178,heavy
4:30:00 PM,19,Thursday,100,38,36,9,183,heavy
4:45:00 PM,19,Thursday,127,25,37,5,194,heavy
5:00:00 PM,19,Thursday,118,32,48,6,204,heavy
5:15:00 PM,19,Thursday,147,19,31,8,205,heavy
5:30:00 PM,19,Thursday,123,36,34,5,198,heavy
5:45:00 PM,19,Thursday,111,24,25,5,165,normal
6:00:00 PM,19,Thursday,121,16,42,8,187,heavy
6:15:00 PM,19,Thursday,119,38,47,7,211,heavy
6:30:00 PM,19,Thursday,132,30,41,6,209,heavy
6:45:00 PM,19,Thursday,52,6,12,18,88,normal
7:00:00 PM,19,Thursday,97,21,10,8,136,normal
7:15:00 PM,19,Thursday,50,16,20,31,117,high
7:30:00 PM,19,Thursday,94,25,19,8,146,normal
7:45:00 PM,19,Thursday,66,11,18,34,129,high
8:00:00 PM,19,Thursday,105,16,15,6,142,normal
8:15:00 PM,19,Thursday,56,23,10,18,107,normal
8:30:00 PM,19,Thursday,105,19,10,25,159,high
8:45:00 PM,19,Thursday,60,18,11,16,105,normal
9:00:00 PM,19,Thursday,88,10,14,11,123,normal
9:15:00 PM,19,Thursday,110,6,14,23,153,high
9:30:00 PM,19,Thursday,78,20,11,35,144,high
9:45:00 PM,19,Thursday,105,14,10,7,136,normal
10:00:00 PM,19,Thursday,18,1,0,10,29,low
10:15:00 PM,19,Thursday,18,1,0,27,46,normal
10:30:00 PM,19,Thursday,12,4,1,18,35,normal
10:45:00 PM,19,Thursday,15,4,1,32,52,normal
11:00:00 PM,19,Thursday,13,4,0,32,49,normal
11:15:00 PM,19,Thursday,14,4,0,15,33,normal
11:30:00 PM,19,Thursday,15,4,0,17,36,normal
11:45:00 PM,19,Thursday,14,0,1,21,36,normal
12:00:00 AM,20,Friday,17,5,0,37,59,normal
12:15:00 AM,20,Friday,14,4,1,12,31,low
12:30:00 AM,20,Friday,16,2,0,15,33,normal
12:45:00 AM,20,Friday,13,4,1,14,32,normal
1:00:00 AM,20,Friday,12,4,0,29,45,normal
1:15:00 AM,20,Friday,19,4,1,30,54,normal
1:30:00 AM,20,Friday,18,4,0,18,40,normal
1:45:00 AM,20,Friday,18,1,1,12,32,low
2:00:00 AM,20,Friday,20,4,1,21,46,normal
2:15:00 AM,20,Friday,10,2,1,20,33,normal
2:30:00 AM,20,Friday,18,5,1,23,47,normal
2:45:00 AM,20,Friday,16,5,1,30,52,normal
